Ort;Bewirtschaftung;Intensität;Koordinate X;Koordinate Y
Salenstein TG;Naturwiese;intensiv;722000;281500
Ellighausen TG;Naturwiese;intensiv;728000;274500
Tänikon TG;Mähweide;intensiv;711000;259500
Merishausen SH;Mähweide;intensiv;688000;290500
Herisau AR;Naturwiese;mittelintensiv;741000;250500
Flawil SG;Naturwiese;intensiv;730500;252500
Oberbüren SG;Mähwiese;intensiv;731000;257500
Ebnat-Kappel SG;Mähweide;intensiv;727000;236500
Ricken West SG;Naturwiese;intensiv;720500;235500
Ricken Ost SG;Naturwiese;intensiv;723500;237500
Ricken Zentrum SG;Naturwiese;intensiv;721000;236500
Wagen SG;Naturwiese;intensiv;710500;232000
Hinwil ZH;Naturwiese;intensiv;705500;239500
Egg ZH;Naturwiese;wenig intensiv;695000;241500
Winterthur-Wülfl. ZH;Mähweide;mittelintensiv;695000;263500
Lindau ZH;Naturwiese;mittelintensiv;693500;255500
Eschikon ZH;Naturwiese;extensiv;693500;255500
Glattfelden ZH;Naturwiese;wenig intensiv;681500;268000
Watt ZH;Naturwiese;mittelintensiv;679500;255500
Zürich-Affoltern ZH;Naturwiese;mittelintensiv;682000;254000
Maschwanden ZH;Naturwiese;intensiv;675000;232500
Kappel a.A. ZH;Naturwiese;intensiv;681000;231000
Schönenberg ZH;Naturwiese;intensiv;690500;228000
Hirzel ZH;Naturwiese;intensiv;688500;229500
Reichenburg SZ;Mähweide;intensiv;717500;226000
Tuggen SZ;Naturwiese;intensiv;715500;230000
Cham ZG;Mähweide;intensiv;678000;227000
Birmenstorf AG;Naturwiese;mittelintensiv;663000;255500
Boswil AG;Naturwiese;intensiv;667000;239500
Muri AG;Mähweide ;mittelintensiv;668000;238000
Bözen AG;Naturwiese;wenig intensiv;649500;261500
Gränichen AG;Naturwiese;wenig intensiv;651500;243500
Sissach BL;Mähweide;intensiv;627000;257000
Eschenbach LU;Mähweide;intensiv;665000;220000
Retschwil LU;Naturwiese;mittelintensiv;662000;227000
Alberswil LU;Mähweide;intensiv;642500;221500
Malters LU;Mähweide;intensiv;659500;211000
Ebnet (Entleb.) LU;Naturwiese;intensiv;648500;208000
Escholzmatt LU;Naturwiese;intensiv;640000;197500
Oensingen SO;Naturwiese;wenig intensiv;622500;237000
Laupersdorf SO;Naturwiese;mittelintensiv;617000;242500
Riedholz SO;Naturwiese;mittelintensiv;609500;231500
Bärau BE;Naturwiese;mittelintensiv;628500;198000
Bannwil BE;Naturwiese;mittelintensiv;622500;233000
Zollikofen BE;Naturwiese;wenig intensiv;602500;204500
Grauholz BE;Naturwiese;wenig intensiv;602000;204500
Münsingen BE;Naturwiese;wenig intensiv;609000;193500
Châtel St. Denis FR;Naturwiese;k.A.;558000;151500
Le Châtelard FR;Naturwiese;k.A.;565500;170000
Lessoc FR;Naturwiese;k.A.;570500;150000
Vaulruz FR;Naturwiese;k.A.;564000;162000
Les Emibois JU;Naturwiese;k.A.;566500;231500
Le Bémont JU;Naturwiese;k.A.;570500;234000
Le Noirmont JU;Naturwiese;k.A.;563500;230500
La Côte-aux-Fées NE;Naturwiese;k.A.;527000;190000
Les Bayards NE;Naturwiese;k.A.;529500;197000
La Brévine NE;Naturwiese;k.A.;536000;203000
La Chaux-du-Milieu NE;Naturwiese;k.A.;546000;208000
La Chaux-de-Fonds NE;Naturwiese;k.A.;556000;221500
Le Locle NE;Naturwiese;k.A.;552000;213500
Le Ponts-de-Martel NE;Naturwiese;k.A.;548000;202500
La Sagne NE;Naturwiese;k.A.;550500;208500
