Ort;März 2010;März 2011;März 2012;März 2013;März 2014;März 2015;März 2016;März 2017;März 2018
Salenstein TG;108;71.5;57.5;61;49.5;65;49.5;26;58
Ellighausen TG;107;187;173;138;111;209;89;84;116
Merishausen SH;167;178;106;222;156;156;17;28;51
Herisau AR;44;72;56;44;83;56;43;19;29
Flawil SG;13;20;7;114.5;10;2.5;41;35.5;68
Oberbüren SG;;;;;146;150;100;163;213
Tänikon TG;72;159;169;272;133;72;92;128;308
Ebnat-Kappel SG;24;36;55;139;73;32;70;77;95
Ricken West SG;56;67;128;94;56;44;50;17;22
Ricken Ost SG;31;67;84;98;58;93;49;36;116
Ricken Zentrum SG;120;227;140;113;80;98;60;27;47
Wagen SG;55;48;61;85;73;73;48;97;97
Hinwil ZH;48;19;95;71;38;33;43;57;86
Egg ZH;31;53;107;84;31;80;44;49;53
Winterthur-Wülfl. ZH;67;25;63;96;96;107;59;59;128
Lindau ZH;68;82;164;123;82;155;64;114;77
Eschikon ZH;5;9;68;86;32;91;36;41;100
Glattfelden ZH;88;56;7;0;12;2;23;14;42
Watt ZH;22;14;8;17;19;39;28;3;67
Zürich-Affoltern ZH;47;59;63;4;0;0;0;0;0
Birmenstorf AG;63;122;15;85;19;7;44;93;70
Boswil AG;48;200;144;156;8;36;52;104;128
Muri AG;39;35;70;35;53;31;57;33;70
Maschwanden ZH;110;143;119;100;14;10;0;33;124
Kappel a.A. ZH;133;144;178;50;17;22;39;100;133
Schönenberg ZH;;;;;;;129;142;63
Cham ZG;72;116;100;180;200;132;128;260;240
Hirzel ZH;267;191;116;227;218;267;200;204;164
Reichenburg SZ;13;13;31;71;13;22;9;18;31
Tuggen SZ;147;27;33;27;13;60;40;47;40
Bözen AG;109;85;48;12;0;103;18;6;0
Gränichen AG;58;124;129;107;40;31;36;49;84
Sissach BL;77;98;95;70;63;126;35;74;56
Eschenbach LU;110;80;143;210;30;17;7;14;36
Retschwil LU;208;158;225;254;146;104;25;71;192
Alberswil LU;15;46;82;205;15;5;10;5;77
Malters LU;;;;;;;80;179;308
Ebnet (Entleb.) LU;62;27;67;164;253;116;18;4;76
Escholzmatt LU;44;52;67;67;56;33;4;4;15
Bärau BE;76;102;178;116;80;40;47;29;135
Oensingen SO;35;48;48;22;9;30;26;13;43
Laupersdorf SO;217;220;200;153;47;167;88.5;56.5;63.5
Bannwil BE;153;160;253;267;73;127;87;40;100
Riedholz SO;20;47;20;20;40;53;13;13;33
Zollikofen BE;15;55;69;100;23;8;31;54;0
Grauholz BE;0;23;38;38;0;8;0;51;46
Münsingen BE;37;37;32;32;18;74;28;116;25
Châtel St. Denis FR;145;331;297;147;6;90;261;293;370
Le Châtelard FR;19;45;304;188;0;0;16;303;529
Lessoc FR;256;612;493;303;128;99;185;309;380
Vaulruz FR;51;309;59;22;0;0;59;161;208
Les Emibois JU;24;152;333;293;239;125;9;1;29
Le Bémont JU;8;29;209;244;64;56;29;8;8
Le Noirmont JU;22;87;229;186;128;21;9;16;27
La Côte-aux-Fées NE;0;2;84;205;69;1;2;44;110
Les Bayards NE;3;2;7;28;11;2;5;51;164
La Brévine NE;7;15;175;155;37;7;1;15;49
La Chaux-du-Milieu NE;1;1;93;298;173;28;6;0;21
La Chaux-de-Fonds NE;2;10;172;258;51;11;8;11;31
Le Locle NE;2;1;41;141;100;9;19;37;100
Le Ponts-de-Martel NE;20;16;28;36;2;3;13;78;177
La Sagne NE;1;12;75;202;24;1;2;84;144
